#,Ticket,Color,Date,Day_Of_Week,Time,Jeans,Section
1,1015,blue,23.09.24,Monday,11:09,black,2
2,1175,black,23.09.24,Monday,15:35,black,2
3,1068,blue,26.09.24,Thursday,12:52,blue,2
4,919,blue,27.09.24,Friday,11:02,black,2
5,958,black,27.09.24,Friday,17:53,black,2
6,1089,blue,30.09.24,Monday,12:40,black,2
7,1197,black,03.10.24,Thursday,13:06,blue,2
8,942,black,04.10.24,Friday,11:19,black,2
9,966,black,07.10.24,Monday,10:53,black,2
10,1295,blue,10.10.24,Thursday,12:31,blue,2
11,998,black,11.10.24,Friday,10:50,blue,2
12,978,blue,14.10.24,Monday,12:58,,2
13,1020,black,17.10.24,Thursday,12:46,black,2
14,1198,black,18.10.24,Friday,11:03,black,2
15,1191,blue,22.10.24,Tuesday,9:25,black,2
16,926,black,24.10.24,Thursday,12:45,black,2
17,1085,black,14.11.24,Thursday,12:53,blue,2
18,952,blue,15.11.24,Friday,13:03,blue,2
19,1289,blue,16.11.24,Saturday,19:08,blue,2
20,1085,black,18.11.24,Monday,12:56,black,2
21,959,black,22.11.24,Friday,13:06,black,2
22,618,black,28.11.24,Thursday,13:03,blue,1
23,482,black,29.11.24,Friday,17:50,black,1
24,162,blue,30.11.24,Saturday,10:57,black,1
25,184,blue,30.11.24,Saturday,12:55,black,1
26,403,black,02.12.24,Monday,12:56,black,1
27,94,black,02.12.24,Monday,17:40,black,1
28,774,black,05.12.24,Thursday,13:00,blue,1
29,226,blue,05.12.24,Thursday,17:31,blue,1
30,127,blue,06.12.24,Monday,11:15,,1
31,194,black,06.12.24,Friday,16:16,,1
32,756,blue,12.12.24,Thursday,13:04,blue,1
33,405,blue,16.12.24,Monday,13:00,black,1
34,624,blue,19.12.24,Thursday,11:27,blue,1
35,772,black,21.12.24,Saturday,17:47,blue,1
36,160,black,16.01.25,Thursday,16:11,blue,1
37,256,blue,17.01.25,Friday,10:51,blue,1
38,445,black,17.01.25,Friday,14:34,blue,1
39,232,blue,18.01.25,Saturday,9:28,blue,1
40,184,black,18.01.25,Saturday,15:46,blue,1
41,220,blue,20.01.25,Monday,10:41,black,1
42,807,black,23.01.25,Thursday,12:53,black,1
43,573,black,24.01.25,Friday,14:35,blue,1
44,236,black,25.01.25,Saturday,9:53,blue,1
45,74,black,25.01.25,Saturday,13:02,blue,1
46,716,blue,27.01.25,Monday,11:24,black,1
47,8,black,30.01.25,Thursday,13:06,blue,1
48,318,black,31.01.25,Friday,14:37,blue,1
49,46,blue,03.02.25,Monday,12:59,black,1
50,487,black,03.02.25,Monday,17:28,black,1
51,344,blue,06.02.25,Thursday,12:55,,1
52,322,black,07.02.25,Friday,14:38,black,1
53,431,black,08.02.25,Saturday,9:55,black,1
54,451,black,08.02.25,Saturday,16:03,black,1
55,459,blue,10.02.25,Monday,11:01,black,1
56,62,blue,11.02.25,Tuesday,15:19,blue,1
57,395,black,13.02.25,Thursday,12:54,blue,1
58,308,blue,14.02.25,Friday,14:28,blue,1
59,30,blue,18.02.25,Tuesday,12:54,blue,1
60,696,black,20.02.25,Thursday,12:55,blue,1
61,160,black,21.02.25,Friday,14:26,,1
62,200,blue,24.02.25,Monday,18:21,,1
63,42,black,25.02.25,Tuesday,14:21,blue,1
64,78,blue,27.02.25,Thursday,12:51,black,1
65,228,blue,28.02.25,Friday,14:35,black,1
66,1386,black,28.02.25,Friday,17:32,black,2
67,242,black,01.03.25,Saturday,9:17,blue,1
68,413,blue,02.03.25,Sunday,8:52,blue,1
69,314,black,03.03.25,Monday,12:34,,1
70,966,black,06.03.25,Thursday,13:01,blue,2
71,417,blue,07.03.25,Friday,14:26,black,1
72,318,blue,10.03.25,Monday,12:55,blue,1
73,272,black,11.03.25,Tuesday,17:10,black,1
74,1139,black,13.03.25,Thursday,12:58,blue,2
75,186,blue,14.03.25,Friday,14:20,blue,1
76,429,black,15.03.25,Saturday,9:23,blue,1
